age,industry,title,context,salary,benefits,currency,currency-other,income_context,country,us_state,city,exp_total,exp_field,education,gender,race,,,
35-44,Retail,owner,"I have a small specialty boutique, independently owned. ","31,600",0,USD,,,United States,California,Oakland,21 - 30 years,5-7 years,College degree,Woman,White,,,
35-44,Education (Higher Education),Director,Member of an administration team at an academic library,72000,0,USD,,,United States,Texas,Denton,11 - 20 years,8 - 10 years,Master's degree,Woman,White,,,
25-34,Education (Higher Education),Data & Systems Analyst,,"37,840",0,GBP,,,"England, UK",,Reading,5-7 years,5-7 years,Some college,Woman,White,,,
35-44,Nonprofits,Program Supervisor,Manage a group home for young adults with mental health challenges,47500,1500,USD,,,United States,Pennsylvania,West Chester,11 - 20 years,11 - 20 years,College degree,Woman,White,,,
35-44,Health care,"Analytics Manager, Strategic Planning",,"91,000",0,USD,,,US,Maine,Portland,21 - 30 years,5-7 years,Master's degree,Woman,White,,,
55-64,Nonprofits,Director of Finance,"I do the accounting, financial stmts, payroll, budget, etc for a church.","60,180",0,USD,,,USA,Michigan,East Lansing,21 - 30 years,21 - 30 years,College degree,Woman,White,,,
45-54,Retail,Remote Manager/Online Customer Service,"I manage the small remote online team for a family owned retail website as well as answer emails, do online chat, and problem solve ","29,000",NA,USD,,,USA,Kentucky,"Bardstown, KY.  Store is located in Frankfort",21 - 30 years,11 - 20 years,College degree,Woman,White,,,
25-34,Business or Consulting,Senior Consultant,"Procurement/Strategic Sourcing focused, but seems to fit into the generic consulting category based on actual work done","120,000",8500,USD,,,USA,Illinois,Chicago,5-7 years,2 - 4 years,College degree,Woman,White,,,
35-44,Government and Public Administration,Library Assistant I,,"34,000",NA,USD,,,United States,Oregon,Portland,21 - 30 years,11 - 20 years,Some college,Woman,White,,,
35-44,"Accounting, Banking & Finance",Group Finance Manager,,"120,000",15000,EUR,,,Germany,,Munich ,11 - 20 years,11 - 20 years,Master's degree,Woman,White,,,
35-44,Recruitment or HR,Chief HR Officer,,150000,0,USD,,,United States,Utah,Layton,11 - 20 years,8 - 10 years,College degree,Woman,White,,,
25-34,"Accounting, Banking & Finance",Analyst,,"85,000",8500,USD,,,USA,North Carolina,.,5-7 years,5-7 years,College degree,Woman,White,,,
35-44,Engineering or Manufacturing,1st line manager,,"62,400",20000,USD,,,United statew,Washington,Woodinville,11 - 20 years,5-7 years,College degree,Woman,White,,,
25-34,Engineering or Manufacturing,Engineering Manager,,110000,0,CAD,,,Canada,,Toronto,11 - 20 years,11 - 20 years,College degree,Man,White,,,
25-34,Government and Public Administration,DOD Analyst,,110000,NA,USD,,,United States,Maryland,Maryland,5-7 years,5-7 years,Master's degree,Woman,White,,,
35-44,Government and Public Administration,Coordinator,,90000,NA,CAD,,,Canada,,Vancouver ,11 - 20 years,8 - 10 years,College degree,Woman,White,,,
18-24,Social Work,Care home administrative officer,,25000,NA,GBP,,,UK,,Newbury,2 - 4 years,2 - 4 years,High School,Woman,White,,,
25-34,Computing or Tech,Software engineer ,,125000,NA,USD,,,United States,Kentucky,Louisville,5-7 years,5-7 years,College degree,Man,White,,,
65 or over,Education (Higher Education),Director,,"78,612",0,USD,,,USA,Nebraska,Omaha,31 - 40 years,31 - 40 years,Master's degree,Woman,White,,,
25-34,Education (Higher Education),Admissions Advisor,,45000,NA,USD,,,United States,District of Columbia,Washington,8 - 10 years,8 - 10 years,Master's degree,Woman,White,,,
25-34,Health care,Clinical Analyst,,"78,000",500,USD,,,USA,Washington,Seattle,2 - 4 years,2 - 4 years,College degree,Non-binary,White,,,
35-44,Education (Higher Education),Associate Director,,"130,000",0,AUD/NZD,,,Australia,,Sydney,11 - 20 years,8 - 10 years,Master's degree,Woman,White,,,
35-44,Engineering or Manufacturing,Incident Responder,,134000,0,USD,,,U.S.,Texas,Austin,11 - 20 years,5-7 years,College degree,Man,"Black or African American, White",,,
35-44,Art & Design,Art director ,,"48,000",NA,GBP,,,United Kingdom,,London ,11 - 20 years,11 - 20 years,College degree,Man,"Black or African American, White",,,
35-44,"Accounting, Banking & Finance",Business Administration Management,"Primarily financial planning for the business but also: Contract writing, Human Resources, Payroll and benefits management, office management, and accounting ",68000,8000,USD,,,United States,North Carolina,Raleigh ,5-7 years,2 - 4 years,Master's degree,Man,White,,,
35-44,Engineering or Manufacturing,Project Manager,,95555,NA,USD,,,United States ,North Carolina,Raleigh ,11 - 20 years,11 - 20 years,College degree,Woman,White,,,
18-24,Retail,Area sales manager ,"Children’s department manager, in charge of $500 million department ","49,000",NA,USD,,Work typically 50-65 hours per week,United States,Texas,Austin,1 year or less,1 year or less,College degree,Woman,White,,,
35-44,Historic Preservation,Senior Architectural Conservator,,75000,2500,USD,,,United States,Pennsylvania,Philadelphia,11 - 20 years,11 - 20 years,Master's degree,Woman,White,,,
55-64,Computing or Tech,"Sr. Manager, Technology",,"155,000",23000,USD,,,USA,Illinois,Chicago,31 - 40 years,21 - 30 years,College degree,Man,White,,,
35-44,Property or Construction,Senior Operations Associate,"Combo of Customer service, project management and dispatching","50,000",0,USD,,,USA,Illinois,Buffalo Grove,11 - 20 years,2 - 4 years,Some college,Woman,White,,,
25-34,Health care,Registered Psychologist,,"90,000",0,AUD/NZD,,,Australia,,Wollongong,2 - 4 years,2 - 4 years,Master's degree,Woman,White,,,
